RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Hamdy Abdelwahab,Jamal Pogues,-130,110,True,1.7692,0.0,-240,3,-12.7,-2.54,-4,-1,-12,0,0,0,-1,0,-3,0.7,0.0,1.25,0,2025-02-01,False,Heavyweight,MALE,3,0,1,3,1,15,0,0,0,4,Orthodox,190.5,195.58,0,0,0,0,3,0,0,0,0,Southpaw,187.96,182.88,32,29,20,20
Dricus Du Plessis,Sean Strickland,-215,180,True,1.4651,0.0,-395,-2,0.0,0.0,-8,-6,-49,0,0,1,7,0,2,-0.86,0.5,1.51,-1,2025-02-08,True,Middleweight,MALE,5,0,1,6,6,71,2,4,1,16,Orthodox,185.42,193.04,0,8,8,0,22,2,4,2,8,Switch,185.42,193.04,31,33,1,0
Zhang Weili,Tatiana Suarez,108,-126,True,2.08,0.0,234,1,-7.62,-2.54,2,2,18,6,1,-2,-3,0,-2,1.8,-0.2,-2.56,-1,2025-02-08,True,Women's Strawweight,FEMALE,5,0,7,7,0,15,1,1,4,7,Southpaw,165.1,167.64,0,4,5,2,33,7,2,2,9,Switch,162.56,160.02,35,34,1,0
Justin Tafa,Tallison Teixeira,136,-158,False,0.0,1.6329,294,6,-22.86,-17.78,3,4,14,0,3,0,-1,1,1,-0.97,0.0,-2.48,0,2025-02-08,False,Heavyweight,MALE,3,0,1,1,0,1,0,1,0,1,Orthodox,200.66,210.82,1,0,2,4,15,0,4,0,4,Southpaw,182.88,187.96,31,25,20,20
Jimmy Crute,Rodolfo Bellato,124,-146,False,0.0,1.6849,270,-1,-2.54,-2.54,3,3,9,0,1,2,-2,1,1,-1.22,1.8,3.01,-6,2025-02-08,False,Light Heavyweight,MALE,3,0,2,2,1,6,0,2,0,2,Orthodox,190.5,190.5,1,0,3,4,15,0,3,2,5,Orthodox,187.96,187.96,28,29,20,14
Jake Matthews,Francisco Prado,-240,198,True,1.4167,0.0,-438,8,10.16,2.54,12,5,43,0,1,5,1,-1,2,-0.34,0.0,0.68,0,2025-02-08,False,Welterweight,MALE,3,1,0,1,2,7,0,1,0,1,Orthodox,177.8,175.26,0,1,3,7,50,0,2,5,13,Orthodox,180.34,185.42,30,22,20,20
Jack Jenkins,Gabriel Santos,190,-230,False,0.0,1.4348,420,3,-5.08,-5.08,3,-1,6,0,2,0,0,0,2,0.13,-1.0,-1.82,0,2025-02-08,False,Featherweight,MALE,3,0,1,1,2,8,0,0,0,1,Orthodox,175.26,177.8,0,1,3,1,14,0,2,0,4,Switch,170.18,172.72,31,28,20,20
Tom Nolan,Viacheslav Borshchev,-102,-116,True,1.9804,0.0,14,-9,10.16,10.16,-1,-2,-13,0,-1,0,1,0,0,0.77,1.8,0.74,0,2025-02-08,False,Lightweight,MALE,3,0,1,2,3,19,0,3,0,4,Orthodox,180.34,175.26,0,2,2,1,6,0,2,0,3,Southpaw,190.5,185.42,24,33,20,20
Wang Cong,Bruna Brasil,-350,280,True,1.2857,0.0,-630,1,2.54,0.0,-1,-1,-9,0,0,1,-1,1,1,3.66,0.7,-0.45,0,2025-02-08,False,Women's Flyweight,FEMALE,3,0,1,1,2,13,0,1,0,3,Orthodox,167.64,165.1,1,0,2,1,4,0,1,1,2,Southpaw,167.64,167.64,32,31,20,20
Colby Thicknesse,Aleksandre Topuria,275,-340,False,0.0,1.2941,615,-4,2.54,0.0,0,0,0,0,0,0,0,0,0,0.4,0.5,-0.5,0,2025-02-08,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,25,29,20,20
Rongzhu,Kody Steele,-10000,-10000,True,1.01,0.0,0,-5,0.0,0.0,3,3,16,1,1,1,-1,1,2,1.58,0.1,0.73,0,2025-02-08,False,Lightweight,MALE,3,0,1,1,0,2,0,1,0,1,Orthodox,175.26,180.34,1,0,3,3,18,1,2,1,4,Orthodox,175.26,180.34,24,29,20,20
Jonathan Micallef,Kevin Jousset,198,-240,True,2.98,0.0,438,-6,5.08,-5.08,-1,-1,-5,0,0,0,1,-1,-1,-2.65,0.8,0.44,0,2025-02-08,False,Welterweight,MALE,3,1,0,2,1,6,0,0,1,2,Orthodox,187.96,190.5,0,1,1,0,1,0,0,1,1,Southpaw,182.88,195.58,25,31,20,20
Quillan Salkilld,Anshul Jubli,-650,480,True,1.1538,0.0,-1130,-5,15.24,0.0,-1,-1,-5,-1,-1,0,1,-1,-1,-1.26,0.4,7.14,0,2025-02-08,False,Lightweight,MALE,3,1,0,2,1,8,1,1,0,2,Switch,182.88,175.26,0,1,1,0,3,0,0,0,1,Orthodox,182.88,190.5,25,30,20,20
Jared Cannonier,Gregory Rodrigues,188,-225,True,2.88,0.0,413,8,5.08,-10.16,3,5,34,1,1,0,-3,2,0,-1.11,-0.4,-1.36,-13,2025-02-15,False,Middleweight,MALE,5,0,3,3,3,20,0,5,0,7,Orthodox,190.5,190.5,2,0,3,8,54,1,6,0,10,Switch,180.34,195.58,40,32,20,7
Calvin Kattar,Youssef Zalal,330,-480,False,0.0,1.2083,810,8,0.0,2.54,1,3,15,0,4,-3,-3,3,-1,1.38,-1.3,-1.83,-10,2025-02-15,False,Featherweight,MALE,3,0,3,3,3,26,0,0,3,6,Switch,177.8,182.88,3,0,2,6,41,0,4,0,7,Orthodox,180.34,182.88,36,28,20,10
