"date","weightclass","fighter","rank"
"2026-03-03","Bantamweight","Song Yadong","5"
"2026-03-03","Bantamweight","Aiemann Zahabi","6"
"2026-03-03","Bantamweight","Deiveson Figueiredo","7"
"2026-03-03","Bantamweight","Mario Bautista","8"
"2026-03-03","Bantamweight","David Martinez","9"
"2026-03-03","Bantamweight","Marlon Vera","10"
"2026-03-03","Bantamweight","Payton Talbott","11"
"2026-03-03","Bantamweight","Vinicius Oliveira","12"
"2026-03-03","Bantamweight","Rob Font","13"
"2026-03-03","Bantamweight","Kyler Phillips","14"
"2026-03-03","Bantamweight","Montel Jackson","15"
"2026-03-03","Featherweight","Alexander Volkanovski","0"
"2026-03-03","Featherweight","Movsar Evloev","1"
"2026-03-03","Featherweight","Diego Lopes","2"
"2026-03-03","Featherweight","Lerone Murphy","3"
"2026-03-03","Featherweight","Yair Rodriguez","4"
"2026-03-03","Featherweight","Aljamain Sterling","5"
"2026-03-03","Featherweight","Jean Silva","6"
"2026-03-03","Featherweight","Arnold Allen","7"
"2026-03-03","Featherweight","Youssef Zalal","8"
"2026-03-03","Featherweight","Steve Garcia","9"
"2026-03-03","Featherweight","Brian Ortega","10"
"2026-03-03","Featherweight","Josh Emmett","11"
"2026-03-03","Featherweight","Melquizael Costa","12"
"2026-03-03","Featherweight","Patricio Freire","13"
"2026-03-03","Featherweight","Kevin Vallejos","14"
"2026-03-03","Featherweight","David Onama","15"
"2026-03-03","Lightweight","Ilia Topuria","0"
"2026-03-03","Lightweight","Justin Gaethje","1"
"2026-03-03","Lightweight","Arman Tsarukyan","2"
"2026-03-03","Lightweight","Charles Oliveira","3"
"2026-03-03","Lightweight","Max Holloway","4"
"2026-03-03","Lightweight","Benoit Saint Denis","5"
"2026-03-03","Lightweight","Paddy Pimblett","6"
"2026-03-03","Lightweight","Mateusz Gamrot","7"
"2026-03-03","Lightweight","Dan Hooker","8"
"2026-03-03","Lightweight","Mauricio Ruffy","9"
"2026-03-03","Lightweight","Renato Moicano","10"
"2026-03-03","Lightweight","Rafael Fiziev","11"
"2026-03-03","Lightweight","Beneil Dariush","12"
"2026-03-03","Lightweight","Michael Chandler","13"
"2026-03-03","Lightweight","Manuel Torres","14"
"2026-03-03","Lightweight","Fares Ziam","15"
"2026-03-03","Welterweight","Islam Makhachev","0"
"2026-03-03","Welterweight","Jack Della Maddalena","1"
"2026-03-03","Welterweight","Ian Machado Garry","2"
"2026-03-03","Welterweight","Michael Morales","3"
"2026-03-03","Welterweight","Belal Muhammad","4"
"2026-03-03","Welterweight","Carlos Prates","5"
"2026-03-03","Welterweight","Sean Brady","6"
"2026-03-03","Welterweight","Kamaru Usman","7"
"2026-03-03","Welterweight","Leon Edwards","8"
"2026-03-03","Welterweight","Joaquin Buckley","9"
"2026-03-03","Welterweight","Gabriel Bonfim","10"
"2026-03-03","Welterweight","Gilbert Burns","11"
"2026-03-03","Welterweight","Uros Medic","12"
"2026-03-03","Welterweight","Colby Covington","13"
"2026-03-03","Welterweight","Michael Page","14"
"2026-03-03","Welterweight","Daniel Rodriguez","15"
"2026-03-03","Middleweight","Khamzat Chimaev","0"
"2026-03-03","Middleweight","Dricus Du Plessis","1"
"2026-03-03","Middleweight","Nassourdine Imavov","2"
"2026-03-03","Middleweight","Sean Strickland","3"
"2026-03-03","Middleweight","Brendan Allen","4"
"2026-03-03","Middleweight","Israel Adesanya","5"
"2026-03-03","Middleweight","Anthony Hernandez","6"
"2026-03-03","Middleweight","Caio Borralho","7"
"2026-03-03","Middleweight","Reinier de Ridder","8"
"2026-03-03","Middleweight","Robert Whittaker","9"
"2026-03-03","Middleweight","Jared Cannonier","10"
