Date,RedFighter,BlueFighter,WeightClass,RedOdds,BlueOdds
2024-04-27,Austen Lane,Jhonata Diniz,Heavyweight,260,-360
2024-04-27,Jonathan Pearce,David Onama,Featherweight,-162,136
2024-04-27,Tim Means,Uros Medic,Welterweight,210,-280
2024-04-27,Rani Yahya,Victor Henry,Bantamweight,295,-375
2024-04-27,Austin Hubbard,Michal Figlak,Lightweight,145,-175
2024-04-27,Don'Tale Mayes,Caio Machado,Heavyweight,114,-135
2024-04-27,Marnic Mann,Ketlen Souza,Women's Strawweight,280,-355
2024-04-27,James Llontop,Chris Padilla,Lightweight,-455,350
2024-04-27,Ivana Petrovic,Liang Na,Women's Flyweight,-440,340
2024-04-27,Gabriel Benitez,Maheshate,Lightweight,190,-230
2024-04-13,Alex Pereira,Jamahal Hill,Light Heavyweight,-130,110
2024-04-13,Zhang Weili,Yan Xiaonan,Women's Strawweight,-455,350
2024-04-13,Justin Gaethje,Max Holloway,Lightweight,-185,154
2024-04-13,Charles Oliveira,Arman Tsarukyan,Lightweight,190,-218
2024-04-13,Bo Nickal,Cody Brundage,Middleweight,-1600,900
2024-04-13,Jiri Prochazka,Aleksandar Rakic,Light Heavyweight,105,-125
2024-04-13,Calvin Kattar,Aljamain Sterling,Featherweight,154,-185
2024-04-13,Holly Holm,Kayla Harrison,Women's Bantamweight,350,-455
2024-04-13,Sodiq Yusuff,Diego Lopes,Featherweight,120,-142
2024-04-13,Jalin Turner,Renato Moicano,Lightweight,-270,220
2024-04-13,Jessica Andrade,Marina Rodriguez,Women's Strawweight,-162,136
2024-04-13,King Green,Jim Miller,Lightweight,-198,164
2024-04-13,Deiveson Figueiredo,Cody Garbrandt,Bantamweight,-380,300
2024-04-06,Brendan Allen,Chris Curtis,Middleweight,-225,185
2024-04-06,Alexander Hernandez,Damon Jackson,Featherweight,-185,154
2024-04-06,Morgan Charriere,Chepe Mariscal,Featherweight,-142,120
2024-04-06,Ignacio Bahamondes,Christos Giagos,Lightweight,-310,250
