,RedFighter,BlueFighter,Finish,FinishRound,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank,BetterRank
4545,Edson Barboza,Paul Felder,U-DEC,3.0,-155,135,7/25/2015,Red,False,Lightweight,MALE,3,0,2,2,0,5,0,1,0,2,Orthodox,180.34,177.8,31,,1,0,4,3,27,0,5,0,9,Orthodox,180.34,190.5,29,7.0,Red
4546,Joe Lauzon,Takanori Gomi,KO/TKO,1.0,-310,255,7/25/2015,Red,False,Lightweight,MALE,3,1,0,2,5,19,0,2,0,4,Southpaw,170.18,177.8,36,,1,0,3,7,35,0,2,7,11,Orthodox,177.8,180.34,31,,neither
4547,Gian Villante,Tom Lawlor,KO/TKO,2.0,-220,180,7/25/2015,Blue,False,Light Heavyweight,MALE,3,0,1,2,4,19,0,1,2,5,Southpaw,182.88,187.96,32,,0,2,2,2,14,0,2,0,3,Orthodox,190.5,193.04,29,15.0,Red
4548,Jim Miller,Danny Castillo,S-DEC,3.0,-140,120,7/25/2015,Red,False,Lightweight,MALE,3,2,0,3,5,31,0,2,0,7,Orthodox,175.26,180.34,35,,2,0,7,6,44,0,2,6,13,Southpaw,172.72,180.34,31,,neither
4549,Kenny Robertson,Ben Saunders,S-DEC,3.0,-135,115,7/25/2015,Blue,False,Welterweight,MALE,3,0,2,3,3,17,0,2,3,6,Orthodox,187.96,195.58,32,,0,3,3,3,14,0,1,2,4,Orthodox,177.8,187.96,31,,neither
4550,Eddie Wineland,Bryan Caraway,U-DEC,3.0,-140,120,7/25/2015,Blue,False,Bantamweight,MALE,3,1,0,2,2,16,0,0,4,4,Orthodox,172.72,172.72,30,12.0,1,0,2,4,16,1,2,0,3,Orthodox,170.18,175.26,31,6.0,Red
4551,Daron Cruickshank,James Krause,SUB,1.0,-200,170,7/25/2015,Blue,False,Lightweight,MALE,3,2,0,1,3,11,0,1,1,2,Orthodox,187.96,185.42,29,,2,0,2,5,26,0,3,0,6,Switch,172.72,182.88,30,,neither
4552,Ramsey Nijem,Andrew Holbrook,S-DEC,3.0,-155,135,7/25/2015,Blue,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,180.34,177.8,29,,1,0,3,4,17,1,2,0,5,Orthodox,180.34,190.5,27,,neither
4553,Jessamyn Duke,Elizabeth Phillips,U-DEC,3.0,130,-150,7/25/2015,Blue,False,Women's Bantamweight,FEMALE,3,2,0,0,2,6,0,0,0,0,Orthodox,167.64,165.1,28,,2,0,1,2,7,0,0,0,1,Orthodox,180.34,185.42,29,,neither
4554,Zak Cummings,Dominique Steele,KO/TKO,1.0,-380,340,7/25/2015,Red,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,27,,1,0,2,1,6,0,0,1,2,Southpaw,182.88,190.5,30,,neither
4555,Michael Bisping,Thales Leites,S-DEC,5.0,-135,115,7/18/2015,Red,False,Middleweight,MALE,5,0,5,5,3,31,1,2,4,10,Orthodox,185.42,198.12,33,10.0,0,1,4,7,59,1,9,0,16,Orthodox,185.42,190.5,36,9.0,Red
4556,Ross Pearson,Evan Dunham,U-DEC,3.0,-245,205,7/18/2015,Blue,False,Lightweight,MALE,3,0,1,4,6,34,0,1,1,8,Southpaw,177.8,177.8,33,,0,1,3,6,36,1,4,0,9,Orthodox,172.72,175.26,30,,neither
4557,Joe Duffy,Ivan Jorge,SUB,1.0,-1000,650,7/18/2015,Red,False,Lightweight,MALE,3,0,1,1,1,9,0,0,0,2,Orthodox,175.26,185.42,34,,0,1,1,0,1,0,1,0,1,Orthodox,177.8,185.42,27,,neither
4558,Joanne Calderwood,Cortney Casey,U-DEC,3.0,-230,190,7/18/2015,Red,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,28,,1,0,1,1,4,0,0,0,1,Orthodox,167.64,165.1,29,9.0,Red
4559,Leon Edwards,Pawel Pawlak,U-DEC,3.0,-400,325,7/18/2015,Red,False,Welterweight,MALE,3,0,1,1,1,6,0,0,0,1,Orthodox,182.88,185.42,26,,0,1,1,1,4,0,1,0,1,Southpaw,182.88,187.96,23,,neither
4560,Stevie Ray,Leonardo Mafra,KO/TKO,1.0,-225,185,7/18/2015,Red,False,Lightweight,MALE,3,0,1,1,2,8,0,0,0,1,Orthodox,177.8,177.8,26,,0,1,1,0,2,0,1,0,1,Southpaw,177.8,177.8,25,,neither
4561,Paddy Holohan,Vaughan Lee,U-DEC,3.0,-145,125,7/18/2015,Red,False,Flyweight,MALE,3,1,0,1,4,14,0,0,1,3,Orthodox,167.64,167.64,32,,0,1,1,1,7,0,0,1,2,Orthodox,177.8,175.26,27,,neither
4562,Ilir Latifi,Hans Stringer,KO/TKO,1.0,-235,195,7/18/2015,Red,False,Light Heavyweight,MALE,3,1,0,1,1,5,0,0,0,1,Orthodox,190.5,185.42,28,,1,0,2,2,6,0,1,1,2,Orthodox,177.8,185.42,31,,neither
4563,Mickael Lebout,Teemu Packalen,U-DEC,3.0,120,-140,7/18/2015,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,185.42,182.88,28,,1,0,0,1,3,0,0,0,0,Orthodox,180.34,185.42,27,,neither
4564,Rob Whiteford,Paul Redmond,,,-160,140,7/18/2015,Red,False,Featherweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,177.8,177.8,28,,0,1,1,1,5,0,0,0,1,Southpaw,175.26,175.26,32,,neither
4565,Marcus Brimage,Jimmie Rivera,KO/TKO,1.0,130,-140,7/18/2015,Blue,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,26,,1,0,3,3,17,0,1,0,4,Southpaw,162.56,180.34,30,,neither
4566,Daniel Omielanczuk,Chris de la Rocha,KO/TKO,1.0,-130,120,7/18/2015,Red,False,Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,190.5,203.2,36,,2,0,1,2,9,0,1,0,1,Southpaw,182.88,187.96,32,,neither
4567,Frank Mir,Todd Duffee,KO/TKO,1.0,165,-190,7/15/2015,Red,False,Heavyweight,MALE,5,0,2,2,1,6,0,3,0,3,Orthodox,190.5,200.66,29,,0,1,4,9,38,5,4,8,15,Southpaw,190.5,200.66,36,10.0,Red
4568,Josh Thomson,Tony Ferguson,U-DEC,3.0,230,-270,7/15/2015,Blue,False,Lightweight,MALE,3,0,5,5,1,16,1,2,3,8,Orthodox,180.34,193.04,31,11.0,2,0,2,3,15,0,2,0,3,Orthodox,177.8,180.34,36,9.0,Red
4569,Holly Holm,Marion Reneau,U-DEC,3.0,-255,215,7/15/2015,Red,False,Women's Bantamweight,FEMALE,3,0,2,2,0,4,0,0,1,2,Orthodox,167.64,172.72,38,11.0,0,1,1,0,3,0,0,0,1,Southpaw,172.72,175.26,33,10.0,Red
4570,Scott Jorgensen,Manvel Gamburyan,U-DEC,3.0,170,-200,7/15/2015,Blue,False,Bantamweight,MALE,3,0,1,2,7,28,1,0,3,5,Orthodox,165.1,170.18,34,,1,0,2,6,22,0,1,1,4,Orthodox,165.1,167.64,32,,neither
4571,Kevin Lee,James Moontasri,SUB,1.0,-315,285,7/15/2015,Red,False,Lightweight,MALE,3,0,1,1,1,5,0,0,1,1,Switch,177.8,180.34,27,,0,3,3,1,12,0,0,0,3,Orthodox,175.26,195.58,22,,neither
4572,Alan Jouban,Matt Dwyer,U-DEC,3.0,-500,400,7/15/2015,Red,False,Welterweight,MALE,3,0,1,1,1,2,0,1,0,1,Orthodox,193.04,193.04,25,,0,1,1,1,5,0,2,0,2,Southpaw,182.88,185.42,33,,neither
